التاريخ,مشاع؟,نوع العملية,المدينة,المنطقة,المخطط,القطعة,السعر (ريال),الحي,نوع العقار,المساحة (م2),سعر المتر
2026-03-08,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,186 / ب / 1401,3,4000000.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-08,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,3,4000000.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-08,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,4000000.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-07,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,101 / ب / 1409,,912.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-07,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,912.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-06,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,912.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-05,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,912.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-04,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,182 / ج / س,,1750.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-04,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1750.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-03,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1750.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-02,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,243 / ب,,3200.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-02,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,3200.0,الروضة,قطعة أرض,1016.0,3935.34
2026-03-01,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,182 / ج / س,,1611.11,الروضة,قطعة أرض,1016.0,3935.34
2026-03-01,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1611.11,الروضة,قطعة أرض,1016.0,3935.34
2026-03-01,كامل العقار,صفقة بيع مرهون,جدة,منطقة مكة المكرمة,,,1611.11,الروضة,قطعة أرض,1016.0,3935.34
2026-02-28,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,3 / 465 / ع,,1500.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-28,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1500.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-27,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1500.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-26,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1500.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-25,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,159 / ب,,5266.67,الروضة,قطعة أرض,1016.0,3935.34
2026-02-25,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,5266.67,الروضة,قطعة أرض,1016.0,3935.34
2026-02-24,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,243 / ب,,3700.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-24,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,3700.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-23,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,243 / ب,,5800.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-23,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,5800.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-21,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,285 / ب,,2888.89,الروضة,قطعة أرض,1016.0,3935.34
2026-02-19,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,2888.89,الروضة,قطعة أرض,1016.0,3935.34
2026-02-19,كامل العقار,صفقة بيع مرهون,جدة,منطقة مكة المكرمة,,,2888.89,الروضة,قطعة أرض,1016.0,3935.34
2026-02-16,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,182 / ج / س,,1155.56,الروضة,قطعة أرض,1016.0,3935.34
2026-02-16,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1155.56,الروضة,قطعة أرض,1016.0,3935.34
2026-02-15,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,4 / ج / س,,2125.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-15,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,2125.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-14,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,2125.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-13,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,2125.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-12,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,2125.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-11,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,182 / ج / س,,2125.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-10,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,243 / ب,,2600.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-10,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,2600.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-10,كامل العقار,صفقة بيع مرهون,جدة,منطقة مكة المكرمة,,,2600.0,الروضة,قطعة أرض,1016.0,3935.34
2026-02-10,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,3 / 372 / ع,143 / 4 / د,5062500.0,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-10,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,143 / 4 / د,5062500.0,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-10,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,5062500.0,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-09,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,209 / ب / 1401,,1375.0,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-09,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1375.0,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-08,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,244 / ج / س,,1333.33,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-08,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1333.33,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-06,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1333.33,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-05,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,1333.33,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-03,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,3 / 339 / ع,,2600.0,الشاطئ,قطعة أرض,810.0,6250.0
2026-02-03,كامل العقار,صفقة,جدة,منطقة مكة المكرمة,,,2600.0,الشاطئ,قطعة أرض,810.0,6250.0
